Joint,MAE (No PCA),MAE (PCA),RMSE (No PCA),RMSE (PCA)
0,0.23439031970212384,0.6255640051168104,0.331696557931101,0.8753209562422913
1,3.0885185100803456,5.38707827110059,28.263431480218834,35.84703866921577
2,0.12267657328627288,0.2672086621757246,0.2003447153258718,0.3731347983509606
3,0.5767509520058033,0.8261828437791673,0.8032426968264326,1.0971740512180446
4,3.620608253620456,4.189932050434719,30.92966633222275,30.19505281754166
5,0.1632191525135221,0.27157573833828214,0.22958534806341696,0.34579762814035
6,0.9079129234323966,1.5148877758359893,1.3321654192204109,2.2144350273237783
7,3.223103859274895,4.728795564605954,28.007191971552867,32.07938052419411
8,0.22875694291468232,0.4356009828929921,0.3422335668965637,0.5784495816948855
9,0.8588092695888896,2.7465225575675274,1.216155846166106,3.3742352781213683
10,0.08571599590640987,0.27764741748055505,0.12243149324599936,0.34291116116463743
11,0.05211542671389376,0.18083201225381346,0.07944251225506668,0.2241420636427382
12,1.7025799112899649,5.103004482170319,2.538871473300678,6.423680633056998
13,2.658022512834266,3.6766210213028296,25.35393518936809,27.89203848595932
14,1.538151780363591,43.502149136892,16.158300455590314,122.71090232183401
15,2.6693082210502466,7.516240858596737,3.767081561244982,9.584732309713486
16,1.5558940301979807,3.4356526098877276,13.713965519962796,16.651515932767953
17,1.1141139460215783,31.657670206687182,6.676001385896009,102.00531355409343
18,0.9938960775231985,3.4272446776377308,1.312325767210242,4.267126888844829
19,0.2327991336205252,0.9838794417787132,0.39198688607629434,1.3319647708320788
20,0.22588108097636758,0.9647387701994844,0.3720896945606484,1.2994447052142442
21,1.9588961702215006,5.4829132031251735,2.6088383563332616,7.1266296846742945
22,1.7648755935455867,10.03411943613028,3.9762833796960373,15.053709831690348
23,1.7331241352072135,9.94482420444201,3.9398730778177837,15.070401171142061
24,3.0034762816696117,6.757017435373725,4.00039291886488,8.49454907541938
25,2.40607519058866,4.309504148057164,19.159040235431473,17.351175755951036
26,1.3570966847197798,2.646497936385016,4.593341067073186,5.699787050073303
