Joint1Tx, Joint1Ty, Joint1Tz, Joint2Tx, Joint2Ty, Joint2Tz, Joint3Tx, Joint3Ty, Joint3Tz, Joint1Ix, Joint1Iy, Joint1Iz, Joint2Ix, Joint2Iy, Joint2Iz, Joint3Ix, Joint3Iy, Joint3Iz, Joint1Mx, Joint1My, Joint1Mz, Joint2Mx, Joint2My, Joint2Mz, Joint3Mx, Joint3My, Joint3Mz,ThumbClosure, IndexClosure, MiddleClosure
-22.77606,35.47478,38.17212,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,13.256,-0.7909851,6.542,0.4520001,-0.0249939,-3.220001,9.231002,-1.042999,-3.48999,3.926001,0.235,3.187,10.77583,-0.3304138,-1.766632,6.441905,-0.3800354,-1.260681,0,0,0
-21.97406,32.50821,37.35383,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,24.02774,0.1098431,5.596231,14.86121,-0.8550415,-3.331421,21.25856,-1.824371,-3.696625,15.94759,0.3135439,2.30725,21.26749,-0.5926514,-1.865173,19.72582,-0.7275696,-1.320343,0,0.1490196,0.1411765
-30.73892,80.44809,40.19931,21.02795,0.2158772,-4.955536,7.599411,-0.2421875,-3.550568,42.63242,1.357113,4.069402,40.97229,-2.800201,-4.266296,42.75663,-3.672943,-4.694031,55.94785,-0.8327637,-0.4130554,62.77682,-3.110535,-3.676025,69.6629,-3.758667,-3.660583,0.3137255,0.4039216,0.627451
-28.37302,97.90833,40.79788,41.62886,-2.124817,-6.192596,26.01752,-1.492279,-3.916565,49.6843,1.721123,3.472278,51.08803,-3.996124,-5.130371,51.09021,-4.759186,-5.489563,62.95743,-1.412079,-1.065369,71.14962,-4.793793,-5.203186,79.07433,-6.92984,-6.73999,0.7764706,0.5019608,0.7215686
-25.05597,98.15189,41.9109,46.07302,-2.819519,-6.674255,30.26715,-1.828857,-4.075439,54.68087,1.929181,3.019225,58.2619,-5.218384,-6.129547,57.03419,-5.807892,-6.339844,65.22069,-1.654755,-1.318756,73.91408,-5.719452,-6.075806,82.11863,-9.55426,-9.336334,0.9058824,0.5686275,0.7529412
-29.52344,99.79459,40.99911,42.19827,-2.208191,-6.248322,26.55389,-1.533325,-3.934753,39.78475,1.191348,4.303193,36.90667,-2.421234,-4.027985,39.41555,-3.318115,-4.460724,49.56261,-0.4571838,0.07971345,55.42452,-2.277893,-2.975708,61.1975,-2.636017,-2.62793,0.7921569,0.3647059,0.5450981
-39.18695,97.98737,41.08491,19.16423,0.3869145,-4.896759,5.996885,-0.1422119,-3.538757,29.18422,0.4934672,5.16731,21.96976,-1.300171,-3.472321,27.13249,-2.250092,-3.871338,33.25988,0.1148436,1.169982,37.91546,-1.177002,-2.176636,40.34087,-1.385468,-1.638611,0.2784314,0.2196078,0.345098
-37.14523,81.43966,43.62248,5.569593,1.545917,-4.646759,-5.515381,0.5682631,-3.53595,20.88886,-0.1382141,5.863535,10.59696,-0.6027222,-3.275818,17.71881,-1.584473,-3.616547,21.64214,0.2883922,1.922984,26.5329,-0.7502441,-1.937927,26.31605,-0.9136353,-1.38623,0.03921569,0.1058824,0.2078431
-34.2554,70.88319,44.01429,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,13.256,-0.7909851,6.542,0.4520001,-0.0249939,-3.220001,9.231002,-1.042999,-3.48999,6.917158,0.2720698,2.956993,13.31099,-0.3883362,-1.785767,9.667783,-0.4628601,-1.266998,0,0,0.03529412
-29.86169,58.07823,42.83237,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,13.256,-0.7909851,6.542,0.4520001,-0.0249939,-3.220001,9.231002,-1.042999,-3.48999,3.926001,0.235,3.187,10.77583,-0.3304138,-1.766632,6.441905,-0.3800354,-1.260681,0,0,0
-25.14746,43.5879,40.18439,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,13.256,-0.7909851,6.542,0.4520001,-0.0249939,-3.220001,9.231002,-1.042999,-3.48999,3.926001,0.235,3.187,10.77583,-0.3304138,-1.766632,6.441905,-0.3800354,-1.260681,0,0,0
-30.89438,61.10796,43.21518,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,24.02774,0.1098431,5.596231,14.86121,-0.8550415,-3.331421,21.25856,-1.824371,-3.696625,24.64855,0.2594509,1.725422,29.39429,-0.8450928,-1.986084,29.87187,-1.02121,-1.433929,0,0.1490196,0.2431373
-36.12277,76.36292,44.16219,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,39.49934,1.1742,4.326499,36.50014,-2.38562,-4.006714,39.08157,-3.284546,-4.439484,48.63282,-0.4112854,0.146632,54.37678,-2.185272,-2.901611,59.97654,-2.522888,-2.528473,0,0.3607843,0.5333334
-36.6416,81.41239,43.28435,7.208375,1.411675,-4.661713,-4.140686,0.4831004,-3.528748,53.57745,1.887555,3.122401,56.67915,-4.909058,-5.868744,55.71949,-5.548615,-6.123932,61.23547,-1.248444,-0.8893127,69.06528,-4.253876,-4.702728,76.75586,-5.73822,-5.570251,0.07843138,0.5568628,0.6980392
-34.48392,90.91864,40.66603,23.45148,-0.01312256,-5.042206,9.694771,-0.374054,-3.570343,57.1477,2.011767,2.780254,61.79407,-6.020996,-6.825165,59.97628,-6.461243,-6.897125,67.72121,-1.968475,-1.636749,76.99753,-7.207153,-7.503235,85.44616,-16.51038,-16.26221,0.3607843,0.6078432,0.7882353
-36.40424,103.7323,40.27065,34.80285,-1.225403,-5.635223,19.73127,-1.036011,-3.739014,62.00885,2.121109,2.263365,68.71232,-8.301666,-8.900208,65.77862,-8.172028,-8.421753,73.10022,-2.891113,-2.540314,83.67594,-15.42505,-15.58517,86.76239,-157.2112,-156.901,0.6039216,0.6784314,0.8666667
-24.11905,99.6628,43.18564,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,65.19038,2.139497,1.876109,73.18864,-10.73117,-11.19846,69.57056,-9.782501,-9.912354,72.30925,-2.72641,-2.38092,82.69846,-13.26584,-13.44656,87.71767,-146.4677,-146.1664,1,0.7294118,0.854902
-23.64423,99.22826,43.17583,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,66.76197,2.12695,1.66412,75.37545,-12.45065,-12.85394,71.43851,-10.80933,-10.88046,73.88554,-3.068054,-2.71109,84.63747,-18.35046,-18.49002,85.75269,-162.9244,-162.6056,1,0.7490196,0.8784314
-22.69629,98.36479,43.14469,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,65.97782,2.135285,1.7719,74.28685,-11.53506,-11.97021,70.5071,-10.27328,-10.37369,75.95173,-3.613373,-3.23584,87.03549,-35.06311,-35.14743,83.00159,-169.8978,-169.5564,1,0.7372549,0.9098039
-21.90836,97.65073,43.10723,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,64.39973,2.139911,1.977078,72.08154,-10.01962,-10.51929,68.62922,-9.33139,-9.490906,74.4059,-3.193634,-2.832062,85.26609,-20.94455,-21.07031,85.06834,-165.4087,-165.0842,1,0.7137255,0.8862745
-26.06848,91.72773,39.76933,38.3448,-1.670837,-5.900757,22.96272,-1.265259,-3.822449,62.54255,2.127676,2.201684,69.46684,-8.638672,-9.215027,66.41534,-8.407684,-8.637238,76.20714,-3.690521,-3.310028,87.29861,-39.12482,-39.20221,82.6573,-170.3962,-170.0522,0.6901961,0.6862745,0.9137255
-24.70645,52.0921,38.52837,10.65523,1.125849,-4.706085,-1.239349,0.3042158,-3.520294,82.6153,-1.007141,-3.47168,81.57439,-157.6784,-157.4591,86.43372,-105.4992,-104.9892,81.41972,-6.133148,-5.66922,84.96819,-159.8884,-159.819,75.56897,-175.3625,-174.9646,0.1254902,1,0.9960784
-28.09692,65.81487,40.01769,14.00834,0.8415081,-4.766846,1.598178,0.1296538,-3.520782,82.6153,-1.007141,-3.47168,81.57439,-157.6784,-157.4591,86.43372,-105.4992,-104.9892,81.17815,-5.962097,-5.503021,85.26678,-158.5694,-158.507,75.89883,-175.2417,-174.8463,0.1843137,1,0.9921569
-45.41458,107.3375,40.98822,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,82.6153,-1.007141,-3.47168,81.57439,-157.6784,-157.4591,86.43372,-105.4992,-104.9892,77.72597,-4.207214,-3.806915,88.28206,-85.91965,-85.95532,80.601,-172.608,-172.2479,0,1,0.9372549
-34.56616,71.78965,44.05382,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,82.6153,-1.007141,-3.47168,81.57439,-157.6784,-157.4591,86.43372,-105.4992,-104.9892,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,0,1,1
-38.89731,84.75239,43.96478,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,82.6153,-1.007141,-3.47168,81.57439,-157.6784,-157.4591,86.43372,-105.4992,-104.9892,80.44946,-5.495117,-5.05011,86.14644,-153.3795,-153.3382,76.89348,-174.8412,-174.4531,0,1,0.9803922
-40.81232,114.5069,39.78751,42.19827,-2.208191,-6.248322,26.55389,-1.533325,-3.934753,82.6153,-1.007141,-3.47168,81.57439,-157.6784,-157.4591,86.43372,-105.4992,-104.9892,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,0.7921569,1,1
-44.20502,118.9687,38.51271,39.71946,-1.85556,-6.01709,24.23383,-1.358368,-3.859741,82.6153,-1.007141,-3.47168,81.57439,-157.6784,-157.4591,86.43372,-105.4992,-104.9892,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,0.7254902,1,1
-32.5726,106.7066,42.08669,47.06395,-2.989746,-6.797882,31.23736,-1.909698,-4.11676,73.41262,1.80894,0.5063846,84.13957,-33.23685,-33.37463,79.23335,-18.93716,-18.76257,80.69305,-5.643677,-5.194031,85.85674,-155.3566,-155.3083,76.5611,-174.9816,-174.591,0.9372549,0.8509804,0.9882353
-29.40662,104.411,42.88451,48.60285,-3.267181,-7.00354,32.76418,-2.040375,-4.186005,73.91288,1.758347,0.3927737,84.70913,-37.40869,-37.52679,79.80453,-20.0369,-19.84396,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,0.9882353,0.8588235,1
-33.06454,107.0956,41.96432,46.81936,-2.947144,-6.766754,30.99699,-1.889526,-4.106323,75.65058,1.535663,-0.04876709,86.32066,-61.02731,-61.07736,81.75107,-25.01505,-24.75854,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,0.9294118,0.8862745,1
-35.34055,108.9693,41.37182,45.56498,-2.734589,-6.613342,29.77329,-1.78833,-4.055145,77.61049,1.167235,-0.6641846,86.648,-106.1576,-106.1314,83.82375,-34.27942,-33.95142,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,0.8901961,0.9176471,1
-42.01456,115.9676,39.37261,41.34097,-2.083191,-6.165039,25.74714,-1.47171,-3.907593,75.89709,1.49712,-0.1183777,86.47353,-65.90247,-65.9429,82.02087,-25.91461,-25.64911,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,0.7686275,0.8901961,1
-49.29742,128.1865,35.59729,32.58903,-0.9662476,-5.491425,17.73942,-0.8993835,-3.695129,56.60149,1.994824,2.834268,61.01288,-5.828094,-6.655792,59.32457,-6.306763,-6.763794,70.9784,-2.475525,-2.136993,81.04496,-10.70682,-10.92166,88.72604,-93.70123,-93.41504,0.5529412,0.6,0.8352941
-50,130,35,15.75631,0.690076,-4.805756,3.08421,0.03809745,-3.524506,48.00237,1.640959,3.618075,48.67194,-3.667786,-4.879242,49.09579,-4.466553,-5.265076,56.24626,-0.853302,-0.4378967,63.127,-3.160767,-3.719849,70.06152,-3.833557,-3.731415,0.2156863,0.4784314,0.6313726
-45.22363,108.4951,40.55758,6.97541,1.430813,-4.659332,-4.336273,0.4951972,-3.529633,47.15869,1.599075,3.69026,47.46042,-3.514832,-4.765442,48.09684,-4.328735,-5.161713,43.92337,-0.2068787,0.4731211,49.16111,-1.788635,-2.596344,53.8456,-2.058746,-2.13562,0.0627451,0.4666667,0.4745098
