Joint1Tx, Joint1Ty, Joint1Tz, Joint2Tx, Joint2Ty, Joint2Tz, Joint3Tx, Joint3Ty, Joint3Tz, Joint1Ix, Joint1Iy, Joint1Iz, Joint2Ix, Joint2Iy, Joint2Iz, Joint3Ix, Joint3Iy, Joint3Iz, Joint1Mx, Joint1My, Joint1Mz, Joint2Mx, Joint2My, Joint2Mz, Joint3Mx, Joint3My, Joint3Mz,ThumbClosure, IndexClosure, MiddleClosure, ThumbAbduction
-36.00162,-164.5521,-35.90717,-26.33261,-173.408,-26.46198,-26.34814,-173.6763,-22.8233,8.419504,-83.37329,-8.206848,9.602855,-83.47845,-5.003418,19.50802,-83.25943,-1.545013,13.92462,-80.19623,2.034086,36.0658,-78.5379,4.50336,56.76088,-74.31964,8.80001,0.1607843,0,0.1411765,0.4980392
-36.03906,-165.6028,-35.75162,-25.7478,-174.7623,-26.17166,-25.23758,-175.2698,-22.43246,7.860277,-83.3067,-8.260773,8.31119,-83.34735,-5.0466,17.59779,-83.11975,-1.5896,4.872591,-80.84195,1.27828,19.02875,-80.09192,3.176864,29.73878,-78.85461,4.91399,0.1607843,0,0.03921569,0.5058824
-36.98563,-168.4541,-35.77924,-27.08755,-177.4733,-26.12714,-26.92654,-177.8247,-22.44751,7.860288,-83.3067,-8.260773,8.311197,-83.34735,-5.0466,17.59779,-83.11975,-1.5896,1.204197,-81.06659,0.9828588,12.25128,-80.53571,2.781378,19.02035,-79.77939,4.223592,0.1490196,0,0.007843138,0.5372549
-38.94678,-170.0565,-36.57104,-33.39441,-176.8411,-27.80035,-36.91446,-175.1615,-25.25592,7.860286,-83.3067,-8.260773,8.311193,-83.34735,-5.0466,17.59778,-83.11975,-1.5896,1.204199,-81.06659,0.9828563,12.25128,-80.53571,2.781377,19.02034,-79.77942,4.22359,0.07450981,0,0.003921569,0.5803922
-39.61328,-167.448,-37.61313,-38.0632,-171.6755,-30.28049,-44.80707,-167.1902,-29.75006,7.860281,-83.3067,-8.260773,8.311191,-83.34735,-5.0466,17.59779,-83.11975,-1.5896,0.8716575,-81.08597,0.9562499,11.64043,-80.57205,2.74797,18.0558,-79.85117,4.17228,0,0,0,0.5843138
-38.82309,-163.9583,-37.90048,-37.29147,-168.1512,-30.63431,-44.01584,-163.6677,-30.05646,7.860284,-83.3067,-8.260773,8.311188,-83.34735,-5.0466,17.59779,-83.11975,-1.5896,0.8716646,-81.08597,0.9562474,11.64043,-80.57205,2.747969,18.05581,-79.85117,4.172278,0,0,0,0.5607843
-38.47952,-162.4716,-38.00406,-36.95474,-166.6491,-30.76691,-43.67184,-162.1697,-30.16614,16.89258,-84.3306,-7.445435,29.40236,-85.38373,-4.641998,48.79591,-85.29752,-1.224213,13.25337,-80.24893,1.976125,34.78679,-78.68387,4.378977,54.73344,-74.87946,8.292001,0,0.1254902,0.145098,0.5490196
-38.7049,-175.4532,-35.35016,-28.32803,175.2521,-25.33823,-27.8111,174.7414,-21.57721,29.75621,-85.64294,-6.452515,60.1419,-88.93564,-5.643341,85.60403,102.0474,-171.1378,29.25111,-78.72852,3.509873,65.89722,-71.3342,11.03421,73.63161,79.2181,160.9426,0.1647059,0.3019608,0.3333333,0.5921569
-40.0419,170.127,-33.29785,-20.91229,157.2802,-21.65579,-12.9007,154.3613,-17.26846,42.52569,-86.84464,-5.616486,87.79211,147.8722,-126.883,39.52515,92.44299,-178.2353,42.45823,-76.86707,5.218194,83.86279,44.26962,125.7892,30.23078,93.98217,173.946,0.3333333,0.4784314,0.4941176,0.6784314
-40.30661,165.3532,-32.66446,-16.63806,150.9356,-20.51337,-4.633881,147.0574,-16.24896,45.87603,-87.15176,-5.418427,80.36601,103.4828,-170.8165,27.33938,91.78698,-178.1742,50.46125,-75.2583,6.661952,68.61136,84.81815,165.6865,2.597895,96.64498,174.966,0.4352941,0.5294118,0.6039216,0.7058824
-39.78955,162.1635,-32.43225,-10.11078,145.6225,-19.95441,7.327201,140.2939,-16.26764,48.36723,-87.37952,-5.276825,74.34052,99.03927,-174.9316,18.26785,91.31187,-178.077,57.80992,-73.20071,8.515637,52.67463,91.09631,171.2532,-23.45139,98.93637,174.7942,0.5764706,0.5686275,0.7058824,0.7098039
-39.40997,160.5052,-32.49484,-6.003723,142.57,-19.92154,14.87763,136.1198,-16.86639,50.29056,-87.55548,-5.170868,69.66331,97.31078,-176.4117,11.26116,90.94145,-177.974,62.03443,-71.59766,9.976186,43.23797,92.98684,172.6739,-38.69879,100.6253,174.084,0.6588235,0.5882353,0.7529412,0.7098039
-38.15063,160.5648,-33.04224,-1.072937,140.9018,-20.64478,23.30734,132.7085,-18.69272,54.09594,-87.90515,-4.970367,60.39755,95.31996,-177.9218,-2.600494,90.17213,-177.6916,67.69057,-68.60583,12.74418,30.31963,94.82857,173.7982,-59.40118,104.549,171.3342,0.7647059,0.6431373,0.8352941,0.682353
-36.79218,161.077,-33.76883,2.995829,139.7944,-21.68015,30.01559,129.6223,-21.08224,59.42527,-88.40387,-4.712585,47.4447,93.70828,-178.8774,-21.98358,88.91125,-177.0536,72.51805,-64.63367,16.49017,18.99626,96.10195,174.3551,-77.15561,116.1924,160.6366,0.854902,0.7333333,0.9176471,0.6470588
