Joint1Tx, Joint1Ty, Joint1Tz, Joint2Tx, Joint2Ty, Joint2Tz, Joint3Tx, Joint3Ty, Joint3Tz, Joint1Ix, Joint1Iy, Joint1Iz, Joint2Ix, Joint2Iy, Joint2Iz, Joint3Ix, Joint3Iy, Joint3Iz, Joint1Mx, Joint1My, Joint1Mz, Joint2Mx, Joint2My, Joint2Mz, Joint3Mx, Joint3My, Joint3Mz,ThumbClosure, IndexClosure, MiddleClosure
-50,130,35,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,13.256,-0.7909851,6.542,0.4520001,-0.0249939,-3.220001,9.231002,-1.042999,-3.48999,4.921485,0.248697,3.109489,11.61423,-0.3492126,-1.772675,7.509725,-0.4074097,-1.262207,0,0,0.01176471
-48.96112,123.8093,36.87714,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,13.256,-0.7909851,6.542,0.4520001,-0.0249939,-3.220001,9.231002,-1.042999,-3.48999,3.926001,0.235,3.187,10.77583,-0.3304138,-1.766632,6.441905,-0.3800354,-1.260681,0,0,0
-50,130,35,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,13.256,-0.7909851,6.542,0.4520001,-0.0249939,-3.220001,9.231002,-1.042999,-3.48999,3.926001,0.235,3.187,10.77583,-0.3304138,-1.766632,6.441905,-0.3800354,-1.260681,0,0,0
-50,130,35,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,13.256,-0.7909851,6.542,0.4520001,-0.0249939,-3.220001,9.231002,-1.042999,-3.48999,3.926001,0.235,3.187,10.77583,-0.3304138,-1.766632,6.441905,-0.3800354,-1.260681,0,0,0
-50,130,35,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,13.256,-0.7909851,6.542,0.4520001,-0.0249939,-3.220001,9.231002,-1.042999,-3.48999,12.26207,0.308954,2.565362,17.96372,-0.5033569,-1.828278,15.56272,-0.6161194,-1.29184,0,0,0.1058824
-50,130,35,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,32.34037,0.7140526,4.908989,26.37694,-1.598419,-3.594513,30.76192,-2.535736,-4.009674,40.08926,-0.07080078,0.7280204,45.02776,-1.533081,-2.412079,48.92597,-1.773407,-1.911194,0,0.2627451,0.427451
-47.43793,116.0859,38.97974,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,59.59096,2.076869,2.529497,65.28011,-7.019135,-7.719116,62.89264,-7.235687,-7.577515,62.95743,-1.412079,-1.065369,71.14962,-4.793793,-5.203186,79.07433,-6.92984,-6.73999,0,0.6431373,0.7215686
-50,130,35,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,57.96484,2.035557,2.698135,62.96158,-6.328461,-7.097595,60.9515,-6.704224,-7.108551,58.61407,-1.027893,-0.6428833,65.9259,-3.611725,-4.119263,73.23249,-4.550964,-4.417114,0,0.6078432,0.6588235
-50,130,35,25.22211,-0.185791,-5.113373,11.23464,-0.4720154,-3.588135,28.03698,0.4106268,5.261864,20.37786,-1.197113,-3.435089,25.81949,-2.151398,-3.827332,46.76083,-0.3246765,0.2786581,52.28532,-2.014374,-2.767548,57.52857,-2.319183,-2.352661,0.4156863,0.1921569,0.5058824
-50,130,35,34.29992,-1.165344,-5.601166,19.27701,-1.004547,-3.728516,35.4947,0.9237741,4.65238,30.81805,-1.923004,-3.75,34.41344,-2.845795,-4.176758,55.34945,-0.7924805,-0.3638,62.07631,-3.013641,-3.591919,68.86421,-3.61676,-3.526825,0.5921569,0.3058824,0.6196079
-50,130,35,34.29992,-1.165344,-5.601166,19.27701,-1.004547,-3.728516,54.68087,1.929181,3.019225,58.2619,-5.218384,-6.129547,57.03419,-5.807892,-6.339844,73.36261,-2.948669,-2.595886,83.99854,-16.29752,-16.45081,86.42927,-159.478,-159.165,0.5921569,0.5764706,0.8745098
-50,130,35,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,22.59942,-0.001634787,5.717175,12.91456,-0.7387695,-3.303528,19.64438,-1.713654,-3.657928,38.79939,-0.03045654,0.8123395,43.65999,-1.457367,-2.359741,47.28652,-1.690277,-1.849152,0,0.1058824,0.3882353
