Joint1Tx, Joint1Ty, Joint1Tz, Joint2Tx, Joint2Ty, Joint2Tz, Joint3Tx, Joint3Ty, Joint3Tz, Joint1Ix, Joint1Iy, Joint1Iz, Joint2Ix, Joint2Iy, Joint2Iz, Joint3Ix, Joint3Iy, Joint3Iz, Joint1Mx, Joint1My, Joint1Mz, Joint2Mx, Joint2My, Joint2Mz, Joint3Mx, Joint3My, Joint3Mz,ThumbClosure, IndexClosure, MiddleClosure
-41.54599,-176.525,-36.58405,-39.9324,179.1694,-29.09259,-46.7424,-176.394,-28.63892,7.86029,-83.3067,-8.260773,8.311195,-83.34735,-5.04657,17.59778,-83.11975,-1.5896,0.8716631,-81.08597,0.956251,11.64043,-80.57205,2.747966,18.0558,-79.85117,4.17228,0,0,0
-41.64822,-177.0324,-36.51495,-40.03049,178.6582,-29.01535,-46.84479,-176.9103,-28.56378,7.860287,-83.3067,-8.260773,8.311195,-83.34735,-5.0466,17.59778,-83.11975,-1.5896,0.8716663,-81.08597,0.9562477,11.64043,-80.57208,2.747969,18.0558,-79.85117,4.172277,0,0,0
-41.64822,-177.0324,-36.51495,-40.03049,178.6582,-29.01532,-46.84479,-176.9103,-28.56378,7.860282,-83.3067,-8.260773,8.311192,-83.34735,-5.0466,17.59779,-83.11975,-1.5896,0.8716623,-81.08597,0.9562437,11.64043,-80.57208,2.747957,18.0558,-79.85117,4.172269,0,0,0
-41.64822,-177.0324,-36.51495,-40.03049,178.6582,-29.01532,-46.84479,-176.9103,-28.56378,7.860281,-83.3067,-8.260773,8.311193,-83.34735,-5.0466,17.59778,-83.11975,-1.5896,0.8716576,-81.08597,0.9562449,11.64043,-80.57208,2.747966,18.0558,-79.85117,4.172276,0,0,0
-41.64819,-177.0324,-36.51495,-40.03049,178.6582,-29.01535,-46.84476,-176.9103,-28.56378,7.86029,-83.3067,-8.260773,8.311194,-83.34735,-5.04657,17.59779,-83.11975,-1.5896,0.8716643,-81.08597,0.9562516,11.64043,-80.57208,2.747977,18.0558,-79.85117,4.172279,0,0,0
-41.64822,-177.0324,-36.51495,-40.03049,178.6582,-29.01535,-46.84479,-176.9103,-28.56378,7.86029,-83.3067,-8.260773,8.311193,-83.34735,-5.0466,17.59779,-83.11975,-1.5896,0.8716695,-81.08597,0.9562418,11.64043,-80.57208,2.74796,18.0558,-79.85117,4.172269,0,0,0
-41.54596,-176.525,-36.58405,-39.93237,179.1694,-29.09259,-46.7424,-176.3941,-28.63892,7.860283,-83.3067,-8.260773,8.31119,-83.34735,-5.04657,17.59778,-83.11975,-1.5896,0.8716549,-81.08597,0.956246,11.64043,-80.57205,2.747968,18.05579,-79.85117,4.17228,0,0,0
-41.64822,-177.0324,-36.51495,-40.03049,178.6582,-29.01535,-46.84476,-176.9103,-28.56378,7.860285,-83.3067,-8.260773,8.311194,-83.34735,-5.04657,17.59778,-83.11975,-1.5896,0.8716655,-81.08597,0.9562477,11.64043,-80.57208,2.747968,18.0558,-79.85117,4.172277,0,0,0
-46.60657,150.8209,-30.05093,-44.62378,146.4572,-22.25067,-51.77692,150.0107,-21.40063,7.860285,-83.3067,-8.260773,8.311194,-83.34735,-5.0466,17.59779,-83.11975,-1.5896,6.545321,-80.73273,1.414495,22.14307,-79.86035,3.377333,34.67308,-78.32776,5.328618,0,0,0.06666667
-46.93677,147.4544,-29.18491,-44.90802,143.1103,-21.38229,-52.09799,146.5114,-20.43045,17.74676,-84.42233,-7.373901,31.42056,-85.57581,-4.637299,51.78236,-85.51657,-1.238922,27.93344,-78.87811,3.36759,63.29648,-72.55981,9.879432,77.60882,72.83267,154.697,0,0.1372549,0.3176471
