Joint1Tx, Joint1Ty, Joint1Tz, Joint2Tx, Joint2Ty, Joint2Tz, Joint3Tx, Joint3Ty, Joint3Tz, Joint1Ix, Joint1Iy, Joint1Iz, Joint2Ix, Joint2Iy, Joint2Iz, Joint3Ix, Joint3Iy, Joint3Iz, Joint1Mx, Joint1My, Joint1Mz, Joint2Mx, Joint2My, Joint2Mz, Joint3Mx, Joint3My, Joint3Mz,ThumbClosure, IndexClosure, MiddleClosure, ThumbAbduction
-35.90759,-151.767,-38.40918,-34.4126,-155.8257,-31.39056,-41.09814,-151.4287,-30.58359,8.627236,-83.39572,-8.178314,10.08322,-83.50696,-4.996704,20.2498,-83.29669,-1.526581,0.8716538,-81.08597,0.9562485,11.64042,-80.57205,2.74797,18.0558,-79.85117,4.172278,0,0.01176471,0,0.4627451
-36.02542,-152.2451,-38.40399,-34.52982,-156.3093,-31.37537,-41.216,-151.9068,-30.57892,8.627238,-83.39572,-8.178314,10.08321,-83.50696,-4.996704,20.2498,-83.29669,-1.526581,0.8716561,-81.08597,0.9562494,11.64042,-80.57208,2.747971,18.0558,-79.85117,4.172279,0,0.01176471,0,0.4666667
-36.14325,-152.7241,-38.39758,-34.64697,-156.7938,-31.35895,-41.33383,-152.3859,-30.57297,8.627239,-83.39572,-8.178314,10.08322,-83.50696,-4.996704,20.2498,-83.29669,-1.526581,0.8716604,-81.08597,0.9562471,11.64042,-80.57208,2.747968,18.05581,-79.85117,4.172276,0,0.01176471,0,0.4705882
-36.02542,-152.2451,-38.40399,-34.52982,-156.3093,-31.3754,-41.216,-151.9068,-30.57895,8.627245,-83.39572,-8.178314,10.08322,-83.50696,-4.996704,20.2498,-83.29669,-1.526581,0.8716708,-81.08597,0.9562485,11.64044,-80.57208,2.747968,18.0558,-79.8512,4.172277,0,0.01176471,0,0.4666667
-35.90759,-151.767,-38.40918,-34.4126,-155.8257,-31.39056,-41.09814,-151.4287,-30.58359,8.627235,-83.39572,-8.178314,10.08322,-83.50696,-4.996704,20.2498,-83.29669,-1.526581,0.8716624,-81.08597,0.9562482,11.64043,-80.57208,2.74797,18.05581,-79.85117,4.172278,0,0.01176471,0,0.4627451
-36.02542,-152.2451,-38.40399,-34.52985,-156.3093,-31.37537,-41.216,-151.9068,-30.57895,8.627244,-83.39572,-8.178314,10.08323,-83.50696,-4.996704,20.24981,-83.29669,-1.526581,0.8716664,-81.08597,0.9562453,11.64043,-80.57208,2.747966,18.0558,-79.85117,4.172272,0,0.01176471,0,0.4666667
-35.90759,-151.767,-38.40918,-34.4126,-155.8257,-31.39056,-41.09814,-151.4287,-30.58359,8.627241,-83.39569,-8.178314,10.08323,-83.50696,-4.996704,20.2498,-83.29669,-1.526581,0.8716636,-81.08597,0.9562502,11.64043,-80.57208,2.747972,18.05581,-79.85117,4.172279,0,0.01176471,0,0.4627451
-35.90759,-151.767,-38.40918,-34.4126,-155.8257,-31.39056,-41.09814,-151.4287,-30.58359,8.627242,-83.39572,-8.178314,10.08323,-83.50696,-4.996704,20.24981,-83.29669,-1.526581,0.871662,-81.08597,0.9562444,11.64043,-80.57208,2.747966,18.05581,-79.85117,4.172272,0,0.01176471,0,0.4627451
-35.90759,-151.767,-38.40918,-34.4126,-155.8257,-31.39056,-41.09814,-151.4287,-30.58359,8.883613,-83.42526,-8.151001,10.67645,-83.55988,-4.980835,21.13751,-83.35516,-1.506592,0.8716525,-81.08597,0.9562439,11.64043,-80.57208,2.747966,18.05579,-79.85117,4.172273,0,0.01568628,0,0.4627451
-36.02542,-152.2451,-38.40399,-34.52982,-156.3093,-31.37537,-41.216,-151.9068,-30.57892,8.627236,-83.39572,-8.178314,10.08322,-83.50696,-4.996704,20.2498,-83.29669,-1.526581,0.8716549,-81.08597,0.9562461,11.64043,-80.57208,2.747966,18.0558,-79.85117,4.172276,0,0.01176471,0,0.4666667
-36.02542,-152.2451,-38.40399,-34.52985,-156.3093,-31.37537,-41.216,-151.9068,-30.57895,8.627246,-83.39572,-8.178314,10.08322,-83.50696,-4.996704,20.2498,-83.29669,-1.526581,0.8716595,-81.08597,0.9562436,11.64043,-80.57208,2.747965,18.0558,-79.85117,4.172272,0,0.01176471,0,0.4666667
-35.90759,-151.7671,-38.40918,-34.4126,-155.8257,-31.39056,-41.09814,-151.4287,-30.58359,8.627236,-83.39572,-8.178314,10.08322,-83.50696,-4.996704,20.24979,-83.29669,-1.526581,0.8716553,-81.08597,0.956249,11.64043,-80.57208,2.74797,18.0558,-79.85117,4.172278,0,0.01176471,0,0.4627451
