Joint1Tx, Joint1Ty, Joint1Tz, Joint2Tx, Joint2Ty, Joint2Tz, Joint3Tx, Joint3Ty, Joint3Tz, Joint1Ix, Joint1Iy, Joint1Iz, Joint2Ix, Joint2Iy, Joint2Iz, Joint3Ix, Joint3Iy, Joint3Iz, Joint1Mx, Joint1My, Joint1Mz, Joint2Mx, Joint2My, Joint2Mz, Joint3Mx, Joint3My, Joint3Mz,ThumbClosure, IndexClosure, MiddleClosure, ThumbAbduction
-35.20126,-148.9177,-38.41486,-33.70837,-152.9428,-31.45627,-40.39178,-148.5822,-30.58423,7.860284,-83.3067,-8.260773,8.311194,-83.34735,-5.0466,17.59779,-83.11975,-1.5896,0.8716639,-81.08597,0.9562498,11.64043,-80.57208,2.747967,18.0558,-79.85117,4.172273,0,0,0,0.4392157
-35.31885,-149.3903,-38.4169,-33.82574,-153.421,-31.4483,-40.50937,-149.054,-30.58731,7.860291,-83.3067,-8.260773,8.311196,-83.34735,-5.04657,17.59778,-83.11975,-1.5896,0.8716635,-81.08597,0.9562507,11.64043,-80.57208,2.747972,18.0558,-79.85117,4.172279,0,0,0,0.4431373
-35.20126,-148.9177,-38.41486,-33.70834,-152.9428,-31.45627,-40.39182,-148.5822,-30.5842,7.86029,-83.3067,-8.260773,8.311193,-83.34735,-5.0466,17.59779,-83.11975,-1.5896,0.8716652,-81.08597,0.9562472,11.64044,-80.57208,2.747965,18.0558,-79.85117,4.172273,0,0,0,0.4431373
-35.31885,-149.3903,-38.41693,-33.82574,-153.421,-31.4483,-40.50937,-149.054,-30.58731,7.860281,-83.3067,-8.260773,8.311189,-83.34735,-5.0466,17.59778,-83.11975,-1.5896,0.8716576,-81.08597,0.9562417,11.64043,-80.57208,2.747968,18.0558,-79.85117,4.172272,0,0,0,0.4431373
-35.20126,-148.9177,-38.41486,-33.70834,-152.9428,-31.45627,-40.39178,-148.5822,-30.5842,7.860281,-83.3067,-8.260773,8.311192,-83.34735,-5.0466,17.59779,-83.11975,-1.5896,0.8716637,-81.08597,0.9562399,11.64043,-80.57208,2.74796,18.0558,-79.85117,4.172272,0,0,0,0.4392157
-35.20126,-148.9177,-38.41486,-33.70837,-152.9428,-31.45624,-40.39182,-148.5822,-30.5842,7.860281,-83.3067,-8.260773,8.311192,-83.34735,-5.0466,17.59778,-83.11975,-1.5896,0.8716624,-81.08597,0.9562498,11.64044,-80.57205,2.747972,18.05579,-79.85117,4.17227,0,0,0,0.4392157
-35.20126,-148.9177,-38.41489,-33.70834,-152.9428,-31.45627,-40.39182,-148.5822,-30.5842,7.860289,-83.3067,-8.260773,8.311194,-83.34735,-5.0466,17.59779,-83.11975,-1.5896,0.871664,-81.08597,0.9562427,11.64043,-80.57208,2.747966,18.0558,-79.85117,4.172277,0,0,0,0.4392157
-35.20126,-148.9177,-38.41486,-33.70834,-152.9428,-31.45627,-40.39178,-148.5822,-30.5842,7.86028,-83.3067,-8.260773,8.311192,-83.34735,-5.04657,17.59779,-83.11975,-1.5896,0.8716648,-81.08597,0.9562523,11.64043,-80.57208,2.747969,18.0558,-79.85117,4.172282,0,0,0,0.4392157
-35.20126,-148.9177,-38.41486,-33.70837,-152.9428,-31.45624,-40.39182,-148.5822,-30.5842,7.860281,-83.3067,-8.260773,8.31119,-83.34735,-5.0466,17.59778,-83.11975,-1.5896,0.8716555,-81.08597,0.9562443,11.64043,-80.57205,2.74797,18.0558,-79.85117,4.172273,0,0,0,0.4392157
-35.31885,-149.3903,-38.41693,-33.82574,-153.421,-31.4483,-40.50937,-149.054,-30.58731,7.860285,-83.3067,-8.260773,8.311196,-83.34735,-5.0466,17.59779,-83.11975,-1.5896,0.8716635,-81.08597,0.9562476,11.64043,-80.57208,2.747968,18.0558,-79.85117,4.172276,0,0,0,0.4431373
