Joint1Tx, Joint1Ty, Joint1Tz, Joint2Tx, Joint2Ty, Joint2Tz, Joint3Tx, Joint3Ty, Joint3Tz, Joint1Ix, Joint1Iy, Joint1Iz, Joint2Ix, Joint2Iy, Joint2Iz, Joint3Ix, Joint3Iy, Joint3Iz, Joint1Mx, Joint1My, Joint1Mz, Joint2Mx, Joint2My, Joint2Mz, Joint3Mx, Joint3My, Joint3Mz,ThumbClosure, IndexClosure, MiddleClosure, ThumbAbduction
-37.90164,-160.0068,-38.1506,-36.38672,-164.1581,-30.96246,-43.09335,-159.6896,-30.32031,24.03195,-85.07578,-6.87326,46.37912,-87.09369,-4.839233,73.925,-87.88062,-2.215088,28.59278,-78.80389,3.438317,64.59768,-71.97711,10.42701,75.64243,76.45835,158.2533,0,0.2235294,0.3254902,0.5294118
-38.13351,-160.9906,-38.09589,-36.61487,-165.1526,-30.88809,-43.32544,-160.6791,-30.26294,24.03195,-85.07578,-6.87323,46.37911,-87.09372,-4.839233,73.925,-87.88062,-2.215088,27.27312,-78.95114,3.297671,61.99416,-73.09061,9.38326,79.50697,67.89341,149.8261,0,0.2235294,0.3098039,0.5372549
-38.47955,-162.4716,-38.00406,-36.95474,-166.6491,-30.76691,-43.67184,-162.1697,-30.16614,23.74574,-85.04678,-6.895111,45.69412,-87.01776,-4.818787,72.91089,-87.69885,-2.093018,27.6034,-78.91479,3.332533,62.64547,-72.83124,9.625381,78.56847,70.56513,152.4638,0,0.2235294,0.3098039,0.5490196
-38.47955,-162.4716,-38.00406,-36.95474,-166.6491,-30.76691,-43.67184,-162.1697,-30.16614,24.60443,-85.13358,-6.829742,47.75023,-87.2486,-4.884277,75.95483,-88.30334,-2.519287,24.95485,-79.19785,3.058993,57.43145,-74.62839,7.96214,84.54224,25.23832,107.4024,0,0.2313726,0.2784314,0.5490196
-38.47952,-162.4716,-38.00406,-36.95474,-166.6491,-30.76694,-43.67184,-162.1697,-30.16614,25.46326,-85.21982,-6.765076,49.8096,-87.48962,-4.963196,79.00285,-89.16898,-3.208832,21.96014,-79.49585,2.764577,51.56904,-76.09515,6.635022,80.5903,-49.29425,33.15116,0,0.2431373,0.2470588,0.5490196
-39.0506,-164.9525,-37.82492,-37.51407,-169.1555,-30.53955,-44.24362,-164.6704,-29.97614,25.46327,-85.21982,-6.765076,49.8096,-87.48962,-4.963196,79.00281,-89.16898,-3.208832,21.62656,-79.52771,2.732641,50.91864,-76.2326,6.512319,79.69579,-52.55173,29.92391,0,0.2431373,0.227451,0.572549
-39.27676,-165.9491,-37.74411,-37.73505,-170.1619,-30.4397,-44.47009,-165.6761,-29.89005,25.46326,-85.21982,-6.765076,49.8096,-87.48962,-4.963196,79.00281,-89.16898,-3.208832,19.28772,-79.74384,2.513119,46.37442,-77.08774,5.756348,72.94569,-65.24731,17.43429,0,0.2431373,0.2156863,0.5764706
-39.5015,-166.9478,-37.65808,-37.95425,-171.1705,-30.33481,-44.69513,-166.6848,-29.79816,24.60442,-85.13361,-6.829742,47.75023,-87.2486,-4.884277,75.9548,-88.30338,-2.519287,16.273,-80.00516,2.24014,40.56017,-77.97217,4.988036,63.8672,-71.70493,11.22841,0,0.2313726,0.172549,0.5882353
-39.83566,-168.4499,-37.51929,-38.27963,-172.6869,-30.16803,-45.02975,-168.2031,-29.64954,23.74574,-85.04678,-6.895111,45.69413,-87.01776,-4.818787,72.91085,-87.69885,-2.093018,12.58207,-80.30081,1.918524,33.51021,-78.82373,4.260014,52.70866,-75.38104,7.841592,0,0.2235294,0.1294118,0.5921569
-39.72467,-167.9487,-37.56683,-38.17166,-172.181,-30.22488,-44.91861,-167.6963,-29.70053,26.89469,-85.36234,-6.658936,53.24804,-87.91949,-5.129822,84.08405,-92.29703,-6.047729,12.24642,-80.32648,1.889857,32.87288,-78.89148,4.202423,51.69745,-75.61285,7.635138,0,0.2745098,0.1372549,0.5882353
-39.5015,-166.9478,-37.65808,-37.95425,-171.1705,-30.33481,-44.6951,-166.6848,-29.79816,29.18417,-85.58728,-6.493195,58.76184,-88.71048,-5.516327,87.61115,109.3953,-163.9019,17.27865,-79.92007,2.330062,42.49417,-77.69958,5.223387,66.90907,-70.1077,12.7433,0,0.2941177,0.1960784,0.5803922
